id,brand,webpage
1112,Realta Legno,https://www.realtalegno.com
1125,Olivero Bioedilizia,https://www.oliverobioedilizia.it
1126,Case Dani,https://www.casedani.com
1129,Costantini Legno,https://www.costantinilegno.it
1133,Ecohouse,https://ecohousesrl.it
1134,LAM Ambiente,https://www.lamambiente.it
1135,Avantgarde Construct,https://www.avantgardeconstruct.it
1140,Italica Steel Frame,https://italicasteelframe.com
1142,ABC Costruzioni,https://abccostruzioni.it
1143,Edilkap Prefabbricati,https://www.edilkap.com
1152,Logicobois,https://www.logicobois.fr
1157,Greenkub,https://www.greenkub.fr
1160,Maison Kokoon,https://www.maison-kokoon.fr
1167,OCM-O,https://ocm-o.fr
1179,SCANDI,https://scandi.ua
1180,МодульДім,https://moduldom.com.ua
1183,Scandidim,https://scandidim.com
1184,Profikarkas,https://profikarkas.com.ua
1185,UnitFab,https://unitfab.com
1195,Zibrano,https://zibrano.com.ua
1196,Modul Prefab,https://modulprefab.com
1206,City House,https://city-house.com.ua
1207,USP Izopan,https://izopan.com.ua
1209,Termo-BUD,https://termo-bud.com.ua
1210,NTK,https://ntkzavod.com.ua
1211,Promstan,https://www.promstan.com.ua
1215,massa haus,https://www.massa-haus.de
1237,Solitar,https://solitar.pl
1246,Polska Fabryka Domów,https://polskafabrykadomow.pl
1247,Bory Home,https://boryhome.pl
1254,SIP Panel Polska,https://sippanelpolska.pl
804,Eco Tiny House,https://ecotiny.house/products/tiny-houses/tinyvictor
809,Armadilla,https://armadilla.co.uk/kurv
826,Madeiguincho,https://www.madeiguincho.pt/melides-casa-na-rvore/9e0qt1oz73tqdjowdp264zawuzchl9
827,Mima Housing,https://www.mimahousing.com/mimalight
