id,brand,country,webpage
555,Kingspan Timber Solutions,United Kingdom,https://www.kingspantimbersolutions.co.uk/
557,Ballytherm,Ireland,https://www.ballytherm.ie
559,Eco Timber Frame,Ireland,https://www.ecotimberframe.ie
570,Könnyűház,Hungary,https://www.konnyuhaz.hu
579,Prodom,Slovakia,https://www.prodom.sk
585,Promming,Croatia,https://www.promming.hr
586,Kamgrad,Croatia,https://www.kamgrad.hr
587,Tehnomont,Croatia,https://www.tehnomont.hr
602,Xella,Germany,https://www.xella.com
606,Doleta,Lithuania,https://www.doleta.lt
615,Akso-Haus,Estonia,https://aksohaus.ee
628,Contern Group,Luxembourg,https://www.contern.lu
635,Al Sahel Contracting Company,United Arab Emirates,https://www.alsahelcon.com
655,Elematic,Finland,https://www.elematic.com
668,Emaar Industries & Investments,United Arab Emirates,https://www.eii.ae
669,Al Futtaim Construction,United Arab Emirates,https://www.alfuttaim.com
674,Emirates Beton,United Arab Emirates,https://www.emiratesbeton.com/
675,Al Hamra Group,United Arab Emirates,https://www.alhamra.ae
683,Al Shafar Steel Engineering LLC,United Arab Emirates,https://www.asse.ae
703,フジ産業,Japan,http://www.fuji-sangyou.co.jp/index.php
717,Sekisui House,Japan,http://www.sh-rc.co.jp/eng/
723,セレ コーポレーション,Japan,http://www.cel-co.com/
766,Woodbase,Czech Republic,https://woodbase.cz/
796,Hemp Building Company,United States,https://www.hempbuildingco.com/
810,Out of the Valley,United Kingdom,https://outofthevalley.co.uk/cabins/nomad-studio/
816,Pod Space,United Kingdom,https://www.pod-space.co.uk/pods/lite-pod/
828,Jular,Portugal,https://www.jular.pt/en/produtos/casas-pre-fabricadas/casas-modulares-treehouse-sw
868,Okaply,Canada,http://okaply.com/
876,PUMA Lajes Alveolares,Brazil,http://www.pumalajes.com.br
900,HAUS,United Kingdom,https://haushomes.co.uk
916,The Tiny Housing Co,United Kingdom,https://www.thetinyhousing.co
921,Alpiger Holzbau AG,Switzerland,http://alpiger-holzbau.ch
925,Holzbau Bucher AG,Switzerland,http://www.holzbau-bucher.ch
926,Kaufmann Oberholzer,Switzerland,http://www.kaufmann-oberholzer.ch
927,KIFA SYSTEMBAU,Switzerland,http://www.kifa.ch
930,Kühni Holzbau,Switzerland,http://www.kuehni.ch
956,Timber Design,Lithuania,http://www.timberdesign.lt
975,ZUBI Cities,Indonesia,https://www.zubicities.com/
987,APS Precast,Canada,https://www.apsprecast.com/
990,AVAN Precast,United States,https://avanpc.com/
991,Bethlehem Construction,United States,https://www.bethlehemconstruction.com/
992,Blakeslee Prestress,United States,http://www.blakesleeprestress.com/
995,Luxhome Concept,Luxembourg,https://www.luxhome.lu
1026,ЭкоДом,Russia,https://ekodom.ru
1034,ПСК Дома,Russia,https://pskdom.ru
1039,Арт-Дом,Russia,https://art-dom.ru
1040,ТехноНИКОЛЬ,Russia,https://www.tn.ru
1053,Система Дом,Russia,https://sistema-dom.ru
1058,Красноярский завод домостроений,Russia,https://kzd.ru
1067,宝业集团 (Baoye Group),China,http://www.baoye.cc
1094,Aathaworld,Malaysia,https://aathaworld.com
1107,Brennerhaus,Italy,https://www.brennerhaus.com
1110,Legno House Trentino,Italy,https://www.curzellegnohouse.it
1123,Costruire Bio,Italy,https://www.costruirebio.it
1127,Barra & Barra,Italy,https://barraebarra.com
1156,Ami Bois,France,https://www.ami-bois.fr
1162,Brily Maisons Eco,France,https://brily.fr
1187,DANICA,Ukraine,https://danica.ua
1197,SAVVATS,Ukraine,https://savvats.com.ua
1212,ALMET,Ukraine,https://almet.com.ua
