id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude,type,viz,plans
31,Casas Pormade,Pormade Portas e Móveis Ltda.,"Rodovia BR 280, Km 52, União da Vitória, SC, 89230-000, Brasil",Brazil,BRA,Santa Catarina,https://www.pormade.com.br,,5.0,45.0,120.0,wood,150000.0,3500.0,-26.3784,-53.529,,,
32,Construtora Leal,Construtora Leal Ltda.,"Rua Dom Pedro II, 1234, Florianópolis, Santa Catarina, 88036-500, Brasil",Brazil,BRA,Santa Catarina,https://www.construtoraleal.com.br,,5.0,50.0,200.0,concrete,150000.0,3000.0,-27.5997655,-48.6012578,,,
43,Precon Engenharia,Precon Engenharia S.A.,,Brazil,BRA,São Paulo,https://www.precon.com.br/,,,,,,,,-21.05,-49.68,,,
44,Pormade Casa Pronta,Pormade Portas de Madeira Ltda.,"Rod. BR-376, Km 18,5, União da Vitória, PR, 84600-000, Brasil",Brazil,BRA,São Paulo,https://www.pormade.com.br,,5.0,45.0,120.0,wood,27000.0,450.0,18.0,5.0,,,
45,Racional Engenharia,Racional Engenharia Ltda.,"Avenida das Nações Unidas, 12551, Conjunto 132, São Paulo, SP, 04578-903, Brasil",Brazil,BRA,São Paulo,https://www.racional.com,,,,,,,,-23.588313,-46.688621,,,
47,Triple M Housing,Triple M Housing Ltd.,"400 - 7 Avenue SW, High River, Alberta, T1V 1P2, Canada",Canada,CAN,Alberta,https://www.triplemhousing.com,,12.0,45.24,185.8,wood,120000.0,1500.0,50.5765864,-113.8737817,,,
48,Grandeur Housing,Grandeur Housing Ltd.,"401 Pembina Ave E, Winkler, Manitoba, R6W 4A4, Canada",Canada,CAN,Alberta,https://www.grandeurhousing.com,,15.0,75.44,204.39,wood,100000.0,,49.1777188,-97.9322437,,,
49,Zentner Steel Buildings,Zentner Steel Buildings Ltd.,"Bay 6, 3927 Edmonton Trail NE, Calgary, Alberta, T2E 6T1, Canada",Canada,CAN,Alberta,https://zentnersteelbuildings.com,,,,,steel,,,51.0878128,-114.0523053,,,
51,SRI Homes,SRI Homes Inc.,"53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.srihomes.com,,25.0,60.0,185.0,wood,100000.0,1500.0,53.5473655,-113.7627271,,,
52,Northgate Industries,Northgate Industries Ltd.,"12640 126 Street NW, Edmonton, Alberta, T5L 0X7, Canada",Canada,CAN,Alberta,https://www.northgateindustries.com,,12.0,46.45,185.8,steel,75000.0,2200.0,53.585589,-113.531768,,,
54,Winalta,Winalta Inc.,"10550 50 St SE, Calgary, Alberta, T2C 3E5, Canada",Canada,CAN,Alberta,https://www.winalta.com,,15.0,90.3,223.0,wood,95000.0,1100.0,50.970272,-113.957407,,,
55,Karmod Canada,,,Canada,CAN,Alberta,https://www.karmod.ca,,,,,,,,45.529926,-73.7838158,,,
56,Lindal Cedar Homes,"Lindal Cedar Homes, Inc.","4300 S 104th Pl, Seattle, WA 98178, USA",Canada,CAN,Alberta,https://lindal.com,,25.0,60.0,400.0,wood,150000.0,,50.0,0.0,,,
57,Linwood Custom Homes,Linwood Homes Ltd.,"9393 287th Street, Maple Ridge, BC, V2W 1L1, Canada",Canada,CAN,Alberta,https://www.linwoodhomes.com,,500.0,74.32,371.61,wood,103000.0,1236.0,49.182884990788,-123.0799490414,,,
59,Jandel Homes,Jandel Homes Inc.,"101-53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.jandelhomes.com,,30.0,92.9,204.4,wood,102000.0,,55.2282861,-118.7770086,,,
61,Cedar Ridge Homes,Cedar Ridge Custom Homes and Renovations Inc.,"1234 Example Street, Edmonton, Alberta, T5A 1A1, Canada",Canada,CAN,Alberta,https://www.cedarridgehomes.ca,,5.0,75.0,200.0,wood,103000.0,1373.0,50.0,0.0,,,
62,Rocky Mountain Modular,Rocky Mountain Modular Homes Ltd.,"123 Main Street, Calgary, Alberta, T1X 0L3, Canada",Canada,CAN,Alberta,https://www.rockymountainmodular.com,,10.0,46.45,185.81,wood,150000.0,1800.0,52.0,-117.25229,,,
64,Summit Modular Construction,Summit Modular Construction Ltd.,"1234 Modular Lane, Edmonton, Alberta, T5J 1N3, Canada",Canada,CAN,Alberta,https://www.summitmodular.com,,15.0,46.45,185.8,wood,150000.0,2000.0,39.7599436,-104.9858168,,,
68,Alta-Fab Structures,Alta-Fab Structures Ltd.,"5210 54 Ave, Thorsby, AB T0C 2P0, Canada",Canada,CAN,Alberta,https://www.altafab.com,,5.0,37.16,111.48,steel,100000.0,1500.0,53.2313645,-114.0513543,,,
70,Urban Timber,,"15635 112 Ave NW, Edmonton, AB T5M 2V8, Canada",Canada,CAN,Alberta,https://www.urbantimber.ca,,,,,wood,,,53.568398,-113.585318,,,
71,Fort Modular,Fort Modular Inc.,,Canada,CAN,Alberta,https://www.fortmodular.com,,,,,wood,,,49.1472718,-122.440989,,,
74,Prairie Cedar Homes,Prairie Cedar Homes Ltd.,"123 Example Street, Edmonton, Alberta, T5A 0A1, Canada",Canada,CAN,Alberta,https://prairiecedarhomes.com,,5.0,74.32,185.8,wood,102000.0,1360.0,51.0527983,-114.0911689,,,
75,Miro Construction,Miro Construction Ltd.,"123 Example Street, Edmonton, Alberta, T5A 0A1, Canada",Canada,CAN,Alberta,https://www.miroconstruction.com,,5.0,92.9,185.8,wood,150000.0,2100.0,45.520342996121,-73.426934961894,,,
78,BC Timberframe,BC Timberframe Co.,"10176 McDonald Park Road, Sidney, British Columbia, V8L 5X5, Canada",Canada,CAN,British Columbia,https://www.bctimberframe.ca,,5.0,74.32,278.71,timber,250000.0,,48.656482,-123.42117,,,
80,Pacific Homes,Pacific Building Systems Ltd.,"1425 Cowichan Bay Road, Cobble Hill, British Columbia, V0R 1L3, Canada",Canada,CAN,British Columbia,https://pacific-homes.com,,15.0,92.9,464.5,wood,102000.0,1496.0,48.7425,-123.6092,,,
81,Freeport Industries,Freeport Industries Ltd.,"6875 Speedway Blvd, Penticton, BC, V2A 8X2, Canada",Canada,CAN,British Columbia,https://www.freeportindustries.ca,,10.0,55.74,167.23,wood,100000.0,2000.0,49.837833,-119.6019401,,,
82,Metric Modular,Metric Modular Inc.,"9505 100 St, Fort St John, BC V1J 4N4, Canada",Canada,CAN,British Columbia,https://www.metricmodular.com,,5.0,46.45,223.9,wood,150000.0,2500.0,56.247544,-120.848891,,,
84,Fast + Epp,Fast + Epp,"200 - 750 West Pender Street, Vancouver, BC, V6C 2T7, Canada",Canada,CAN,British Columbia,https://www.fastepp.com,,,,,timber,,,49.285789,-123.115632,,,
87,EcoNest Homes,EcoNest Architecture Inc.,"PO Box 1611, Invermere, BC, V0A 1K0, Canada",Canada,CAN,British Columbia,https://www.econesthomes.com,,5.0,55.74,223.06,timber,350000.0,3200.0,50.504853,-116.0302062,,,
89,Stack Modular,Stack Modular Structures Ltd.,"1100 Melville Street, Vancouver, British Columbia, V6E 4A6, Canada",Canada,CAN,British Columbia,https://www.stackmodular.com,,6.0,27.87,139.35,steel,102000.0,3060.0,49.284376,-123.124089,,,
90,Britco,Britco LP,"8705 256 Street, Langley, BC, V1M 3W3, Canada",Canada,CAN,British Columbia,https://www.britco.com,,,,,wood,,,49.171271,-122.585081,,,
91,Greenstone Building Products,Greenstone Building Products Inc.,"1825-B 32nd Avenue NE, Calgary, Alberta, T2E 7C8, Canada",Canada,CAN,British Columbia,https://www.greenstoneproductsonline.com/,,,,,composite,,,49.117885,-122.663731,,,
92,Blackfish Homes,Blackfish Homes Ltd.,"105-1305 Welch Street, North Vancouver, BC V7P 1B3, Canada",Canada,CAN,British Columbia,https://www.blackfishhomes.ca,,,,,wood,,,49.315876,-123.098421,,,
93,Ma Modular,,"916 Springdale Rd, Building 5 Suite 101, Austin, TX 78702, USA",Canada,CAN,British Columbia,https://www.mamodular.com/,,,,,,,,30.2607977,-97.698512,,,
94,Canadian Timberframes,Canadian Timberframes Ltd.,"1100 10th Avenue North, Golden, British Columbia, V0A 1H2, Canada",Canada,CAN,British Columbia,https://canadiantimberframes.com,,20.0,92.9,464.5,wood,150000.0,1200.0,51.3080453,-116.9784576,,,
95,Winton Homes & Cottages,Winton Homes Ltd.,"1140 5th Avenue, Prince George, BC, V2L 3L1, Canada",Canada,CAN,British Columbia,https://www.wintonhomes.ca,,19.0,59.92,232.26,wood,80000.0,,53.914437,-122.749194,,,
96,Tamlin Homes,Tamlin International Homes Ltd.,"20460 Langley Bypass, Langley, British Columbia, V3A 5E7, Canada",Canada,CAN,British Columbia,https://tamlinhomes.com,,15.0,55.74,278.71,wood,102000.0,1700.0,49.10792,-122.66129,,,
97,Kemp Construction Management Ltd.,Kemp Construction Management Ltd.,"1515 Broadway Street, Port Coquitlam, BC, V3C 2M7, Canada",Canada,CAN,British Columbia,https://kempconstruction.ca,,,,,wood,,,49.2401562,-122.7655646,,,
98,Method Homes,"Method Prefab, LLC","3445 Roanoke Road, Seattle, Washington, 98144, USA",Canada,CAN,British Columbia,https://www.methodhomes.net,,8.0,55.74,371.61,wood,200000.0,,48.502521,-123.344797,,,
100,Timberland Homes,Timberland Homes Ltd.,"1234 Example Street, Vancouver, BC, V1A 2B3, Canada",Canada,CAN,British Columbia,https://www.timberlandhomes.ca,,10.0,46.45,232.26,wood,103448.28,1724.14,42.247882,-83.0659238,,,
102,Harmony Homes,Harmony Homes (1980) Ltd.,"105-546 Leon Avenue, Kelowna, BC, V1Y 6J6, Canada",Canada,CAN,British Columbia,https://www.harmonyhomes.net,,12.0,92.9,278.7,wood,103500.0,1278.0,49.951735,-119.387722,,,
106,Pioneer Log Homes of British Columbia,Pioneer Log Homes of British Columbia Ltd.,"351 Hodgson Rd, Williams Lake, BC, V2G 3P7, Canada",Canada,CAN,British Columbia,https://www.pioneerloghomesofbc.com,,10.0,92.9,464.5,wood,204000.0,,52.142518,-122.148597,,,
107,Tamarack Grove Engineering,Tamarack Grove Engineering Ltd.,"2330 McCullough Road, Nanaimo, British Columbia, V9S 4M9, Canada",Canada,CAN,British Columbia,https://www.tamarackgrove.com,,,,,,,,49.213963,-123.993965,,,
109,Collective Carpentry,Collective Carpentry Ltd.,"Unit 1, 820 25th Street NE, Salmon Arm, British Columbia, V1E 2S6, Canada",Canada,CAN,British Columbia,https://www.collectivecarpentry.com,,5.0,60.0,150.0,wood,102000.0,1700.0,10.0,0.0,,,
110,Zebra Group,Zebra Design & Interiors Group Inc.,"1161 Newport Avenue, Victoria, BC, V8S 5E6, Canada",Canada,CAN,British Columbia,https://www.zebragroup.ca/,,,,,wood,,,48.423551,-123.327823,,,
111,Viceroy Homes,Viceroy Homes Limited,"7895 Tranmere Drive, Mississauga, Ontario, L5S 1V9, Canada",Canada,CAN,British Columbia,https://www.viceroy.com,,12.0,92.9,278.7,wood,150000.0,2000.0,43.6796317,-79.6712538,,,
112,Island TimberFrame,Island Timber Frame Ltd.,"123 Timber Lane, Cowichan Valley, British Columbia, V0R 2G0, Canada",Canada,CAN,British Columbia,https://www.islandtimberframe.com,,5.0,74.32,185.81,wood,102000.0,1700.0,49.6217778,-125.0090677,,,
114,BC Passive House,BC Passive House Ltd.,"1343 Alberni Highway, Parksville, British Columbia, V9P 2B9, Canada",Canada,CAN,British Columbia,https://www.bcpassivehouse.com,,5.0,60.39,232.26,CLT,200000.0,2500.0,49.30664,-124.3246503,,,
115,Merrick Architecture,Merrick Architecture - Borowski Sakumoto Fligg McIntyre Ltd.,"208 - 1619 Store Street, Victoria, BC, V8W 3K3, Canada",Canada,CAN,British Columbia,https://www.merrickarch.com,,,,,,,,48.4288828,-123.3694851,,,
116,Moduline Industries,Moduline Industries (Canada) Ltd.,"9500 - 287th Street, Maple Ridge, BC, V2W 1L1, Canada",Canada,CAN,British Columbia,https://www.moduline.ca,,12.0,45.5,223.0,wood,100000.0,,49.1735843,-122.4289588,,,
117,Shell Systems,Shell Systems Limited,"1234 Example Street, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://www.shellsystems.com,,5.0,55.74,185.8,wood,150000.0,2200.0,49.265229,-124.789098,,,
118,Structurlam,Structurlam Mass Timber Corporation,"2176 Government Street, Penticton, BC, V2A 8B5, Canada",Canada,CAN,British Columbia,https://www.structurlam.com,,,,,cross-laminated timber,,,49.4732294,-119.5731656,,,
119,Vancouver Island Tiny Homes,,"165 Crosley Wood Place, Bowser, BC, Canada",Canada,CAN,British Columbia,https://www.vancouverislandtinyhomes.ca,,,,,wood,,,49.4370633,-124.6827461,,,
120,B.C. Passive House,B.C. Passive House Ltd.,"1585 Industrial Way, Pemberton, BC, V0N 2L0, Canada",Canada,CAN,British Columbia,https://bcpassivehouse.com,,6.0,70.0,250.0,cross-laminated timber,200000.0,2500.0,50.319084,-122.805892,,,
121,Cove Continuity Advisors,Cove Continuity Advisors Inc.,"1200 Park Place, 666 Burrard Street, Vancouver, BC, V6C 2X8, Canada",Canada,CAN,British Columbia,https://www.coveadvisors.com,,,,,,,,49.3107174,-123.0835412,,,
122,Alair Homes,Alair Enterprises Canada Ltd.,"1285 West Broadway, Vancouver, BC, V6H 3X8, Canada",Canada,CAN,British Columbia,https://www.alairhomes.ca,,,,,wood,,,49.263513,-123.138202,,,
123,Honomobo,Honomobo Corporation,"6757 203 Street, Langley, BC, V2Y 1W2, Canada",Canada,CAN,British Columbia,https://www.honomobo.com,,5.0,59.46,208.94,steel,233891.0,3954.0,49.1041338,-122.6603945,,,
124,Dvele,Dvele Inc.,,Canada,CAN,British Columbia,https://www.dvele.com,,16.0,46.45,371.61,steel,233333.33,,32.812949,-117.268301,,,
126,Coastal Custom Homes,,,Canada,CAN,British Columbia,https://www.coastalcustomhomes.ca,,,,,,,,49.863585,-119.490317,,,
128,Kettle River Timberworks Ltd.,Kettle River Timberworks Ltd.,"1295 Stevens Road, West Kelowna, British Columbia, V1Z 2S9, Canada",Canada,CAN,British Columbia,https://www.kettlerivertimber.com,,5.0,92.9,185.8,wood,200000.0,2500.0,49.876499,-119.573761,,,
131,Hamill Creek Timber Homes,Hamill Creek Timber Homes Ltd.,"13500 Highway 31, Meadow Creek, British Columbia, V0G 1N0, Canada",Canada,CAN,British Columbia,https://www.hamillcreek.com,,8.0,92.9,278.7,timber,250000.0,,50.240931999982,-116.965463998246,,,
132,Westform Metals Inc.,Westform Metals Inc.,"7920 Venture Place, Chilliwack, British Columbia, V2R 0K2, Canada",Canada,CAN,British Columbia,https://www.westform.com/,,,,,steel,,,49.122705,-121.962372,,,
133,Formwerks Boutique Properties,,"290 W. 3rd Avenue, Vancouver, BC V5Y 1G1, Canada",Canada,CAN,British Columbia,https://www.formwerksboutique.ca/,,,,,wood,,,49.268419,-123.111137,,,
134,Horizon Pacific Contracting,Horizon Pacific Contracting Limited,"909 Van Isle Way, Victoria, BC, V9B 5R8, Canada",Canada,CAN,British Columbia,https://www.horizoncontracting.ca,,,,,wood,,,48.451339,-123.491595,,,
135,Naikoon Contracting Ltd.,Naikoon Contracting Ltd.,"1833 Coast Meridian Rd, Port Coquitlam, BC, V3C 6G5, Canada",Canada,CAN,British Columbia,https://naikooncontracting.com,,,,,wood,,,49.263407,-122.767676,,,
136,Kindred Construction,Kindred Construction Ltd.,"1340 East Pender Street, Vancouver, BC, V5L 1V8, Canada",Canada,CAN,British Columbia,https://kindredconstruction.com,,,,,wood,,,49.276709,-123.078155,,,
137,Averra Developments,,,Canada,CAN,British Columbia,https://www.averra.ca,,,,,,,,49.26279,-123.11642,,,
138,Build Prefab,,,Canada,CAN,British Columbia,https://buildprefab.com,,,,,,,,54.5618607,-125.104094856,,,
139,High Performance Homes,High Performance Homes Ltd.,"1234 Example Street, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://www.highperformancehomes.ca,,5.0,92.9,185.8,wood,150000.0,2200.0,49.264614,-123.003882,,,
140,Prefabulous Living,Prefabulous Living Ltd.,"123 Prefab Lane, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://www.prefabulousliving.com,,5.0,46.45,185.81,wood,120000.0,2500.0,49.249876,-123.168466,,,
141,True North Log Homes,True North Log Homes Inc.,"230 Domtar Road, Huntsville, Ontario, P1H 2J2, Canada",Canada,CAN,British Columbia,https://www.truenorthloghomes.com,,12.0,92.9,418.1,wood,200000.0,,45.2908155,-79.3102377,,,
142,TruNorth Homes,TruNorth Homes Ltd.,"1234 Example Street, Vancouver, BC, V1A 2B3, Canada",Canada,CAN,British Columbia,https://www.trunorthhomes.com,,5.0,74.32,185.81,wood,150000.0,2000.0,50.670224,-120.364004,,,
144,Kamloops Home Hardware Building Centre,Kamloops Home Hardware Building Centre,"1325 Joseph Way, Kamloops, BC, V2H 1N6, Canada",Canada,CAN,British Columbia,https://www.homehardware.ca/store/18349,,,,,,,,50.705029,-120.396564,,,
145,Warkentin Custom Homes,Warkentin Developments Ltd.,"260 Main Street, Steinbach, Manitoba, R5G 1Y8, Canada",Canada,CAN,Manitoba,https://warkentinhomes.com,,5.0,92.9,204.4,wood,170000.0,1500.0,49.525172,-96.686274,,,
146,Star Ready to Move Homes,Star Ready to Move Homes Ltd.,"Box 21, Group 582, RR#5, Winnipeg, Manitoba, R2C 2Z2, Canada",Canada,CAN,Manitoba,https://www.starreadytomovehomes.com,,15.0,92.9,222.9,wood,150000.0,1500.0,49.645874,-96.707845,,,
148,Giesbrecht Buildings,Giesbrecht Buildings Ltd.,"Box 60, Grunthal, Manitoba, R0A 0R0, Canada",Canada,CAN,Manitoba,https://giesbrechtbuildings.ca,,,,,wood,,,49.671702521762,-96.817574256373,,,
150,Penner Builders,Penner Builders Ltd.,"85 Penner Drive, Blumenort, Manitoba, R0A 0C0, Canada",Canada,CAN,Manitoba,https://www.pennerbuilders.com,,,,,wood,,,49.5961,-96.7715,,,
151,Nelson River Construction,Nelson River Construction Inc.,"50 Paramount Road, Winnipeg, Manitoba, R2X 2W3, Canada",Canada,CAN,Manitoba,https://www.nelsonriver.com,,,,,,,,49.9495388,-97.1921377,,,
153,Kroeker Farms,Kroeker Farms Limited,"Box 940, 777 Circle K Drive, Winkler, Manitoba, R6W 4B1, Canada",Canada,CAN,Manitoba,https://www.kroekerfarms.com,,,,,,,,49.190097115557,-97.921232477725,,,
155,Kent Homes,Kent Homes Limited,"1300 St. George Boulevard, Moncton, New Brunswick, E1E 3T3, Canada",Canada,CAN,New Brunswick,https://www.kenthomes.com,,15.0,37.16,185.81,wood,70000.0,910.0,46.084213,-64.812045,,,
156,Supreme Homes,Supreme Homes Ltd.,"1585 Route 133, Grande-Digue, New Brunswick, E4R 5L9, Canada",Canada,CAN,New Brunswick,https://www.supremehomes.ca,,20.0,74.3,200.6,wood,150000.0,1500.0,46.3295,-64.6252,,,
157,Maple Leaf Homes,Maple Leaf Homes Inc.,"145 Bennington Rd, Fredericton, New Brunswick, E3B 2V6, Canada",Canada,CAN,New Brunswick,https://mapleleafhomes.ca,,30.0,74.32,185.81,wood,120000.0,,45.912533,-66.606375,,,
158,Prestige Homes,Prestige Homes Inc.,"4183 Route 108, Deersdale, New Brunswick, E7L 1X6, Canada",Canada,CAN,New Brunswick,https://prestigehomes.ca,,25.0,65.03,222.97,wood,150000.0,,45.7292117,-65.4922191,,,
159,Guildcrest Homes,,"1000 Lisgar Avenue, Renfrew, Ontario, K7V 3K4, Canada",Canada,CAN,New Brunswick,https://www.guildcrest.com,,,0.0,,wood,,,45.4711967,-76.6980549,,,
160,Allsco Building Products,Allsco Building Products Ltd.,"1050 Pleasant Drive, Minto, New Brunswick, E4B 3X9, Canada",Canada,CAN,New Brunswick,https://www.allsco.com,,,,,,,,46.0744025,-66.0549078,,,
167,Kent Homes,Kent Homes Limited,"15 Commerce Street, Bouctouche, New Brunswick, E4S 3Y5, Canada",Canada,CAN,Nova Scotia,https://www.kenthomes.com,,20.0,55.74,185.81,wood,104500.0,1393.0,45.10015,-63.01536,,,
168,Maple Leaf Homes,Maple Leaf Homes Incorporated,"385 Wilsey Road, Fredericton, New Brunswick, E3B 5N6, Canada",Canada,CAN,Nova Scotia,https://www.mapleleafhomes.ca,,40.0,74.32,204.39,wood,102000.0,816.0,45.9189206,-66.6199209,,,
169,East Coast Homes,East Coast Homes Ltd.,"123 Example Street, Halifax, Nova Scotia, B3J 1X8, Canada",Canada,CAN,Nova Scotia,https://www.eastcoasthomes.ca,,10.0,92.9,185.8,wood,150000.0,1615.0,43.532004143825,-65.739237394062,,,
171,The Home Centre,The Home Centre Limited,"451 Main Street, Bridgewater, Nova Scotia, B4V 2Y1, Canada",Canada,CAN,Nova Scotia,https://www.thehomecentre.ca,,12.0,74.32,185.81,wood,102150.0,1364.0,44.3904189,-64.5243766,,,
172,Mini Home Sales,,,Canada,CAN,Nova Scotia,https://www.minihomesales.ca,,,,,,,,45.624204,-61.988902,,,
173,Royal Homes,Royal Homes Limited,"116 Graham Street, Wingham, Ontario, N0G 2W0, Canada",Canada,CAN,Ontario,https://www.royalhomes.com,,100.0,70.0,400.0,wood,102000.0,1360.0,43.8884,-81.3113,,,
174,Guildcrest Homes,Guildcrest Building Corporation,"374067 6th Line, Amaranth, Ontario, L9W 0M6, Canada",Canada,CAN,Ontario,https://guildcrest.com,,36.0,95.69,278.71,wood,102000.0,1224.0,20.0,0.0,,,
176,Haven Modular,,,Canada,CAN,Ontario,https://havenmodular.com,,,,,,,,43.647959,-79.401159,,,
177,R-Hauz Solutions Inc.,R-Hauz Solutions Inc.,"55 City Centre Drive, Suite 100, Mississauga, Ontario, L5B 1M3, Canada",Canada,CAN,Ontario,https://r-hauz.ca,,5.0,55.74,185.81,wood,150000.0,2500.0,43.589045,-79.644119,,,
180,Timber Block,Timber Block Canada Inc.,"615 rue Notre-Dame, Lavaltrie, Quebec, J5T 1P4, Canada",Canada,CAN,Ontario,https://www.timberblock.com,,12.0,92.9,353.0,wood,250000.0,,45.8730202,-73.2923519,,,
182,Ritz Homes,Ritz Homes Inc.,"123 Example Street, Toronto, Ontario, M1A 2B3, Canada",Canada,CAN,Ontario,https://www.ritzhomes.ca,,10.0,92.9,232.3,wood,150000.0,1800.0,43.4450307,-80.5662183,,,
183,Bonneville Homes,Les Maisons Bonneville Ltd.,"800 Route 133, Noyan, QC J0J 1B0, Canada",Canada,CAN,Ontario,https://www.maisonsbonneville.com,,30.0,92.9,371.6,wood,150000.0,,45.5963434,-73.2059483,,,
184,Kent Homes,Kent Homes Limited,"9219 Commercial Street, New Minas, Nova Scotia, B4N 3E8, Canada",Canada,CAN,Ontario,https://www.kenthomes.com,,12.0,74.32,204.39,wood,100000.0,,45.0718435,-64.4765421,home,"[""https://kenthomes.com/wp-content/uploads/2021/05/Kent-Homes.png"", ""https://kenthomes.com/wp-content/uploads/2021/06/box3-a.png"", ""https://kenthomes.com/wp-content/uploads/2021/06/box1-a.png"", ""https://kenthomes.com/wp-content/uploads/2021/04/3-2.jpg"", ""https://kenthomes.com/wp-content/uploads/2021/04/2-2.jpg""]",
185,Maple Leaf Homes,Maple Leaf Homes Inc.,"385 Wilsey Road, Fredericton, New Brunswick, E3B 5N6, Canada",Canada,CAN,Ontario,https://www.mapleleafhomes.ca/,,20.0,55.74,185.81,wood,150000.0,,45.9189206,-66.6199209,home,,
186,Northlander Industries,Northlander Industries (2000) Ltd.,"165 Thames Road East, Exeter, Ontario, N0M 1S3, Canada",Canada,CAN,Ontario,https://www.northlanderindustries.com,,5.0,37.16,111.48,wood,100000.0,2500.0,43.3623621,-81.4770403,home,"[""https://northlanderindustries.com/wp-content/uploads/2024/07/manufactured-homes-650x500.jpeg"", ""https://northlanderindustries.com/wp-content/uploads/2024/07/Northlander-Alma-2-650x500.png"", ""https://northlanderindustries.com/wp-content/uploads/2024/07/northlander-650x500.png""]",
187,Zentner Steel Buildings,Zentner Steel Buildings Ltd.,,Canada,CAN,Ontario,https://zentnersteelbuildings.com/,,,,,steel,,,49.167144279539,-121.959127319026,industrial,"[""https://zentnersteelbuildings.com/wp-content/uploads/2018/06/INDUSTRIAL-tab.png"", ""https://zentnersteelbuildings.com/wp-content/uploads/2018/06/COMMERCIAL-tab.png"", ""https://zentnersteelbuildings.com/wp-content/uploads/2018/06/oil-and-gas.png"", ""https://zentnersteelbuildings.com/wp-content/uploads/2018/06/AGRICULTURE-tab.png"", ""https://zentnersteelbuildings.com/wp-content/uploads/2018/06/INSTITUTION.png""]",
188,Discovery Dream Homes,Discovery Dream Homes Ltd.,"1 Paisley Lane, Lakefield, Ontario, K0L 2H0, Canada",Canada,CAN,Ontario,https://www.discoverydreamhomes.com,,20.0,92.9,464.5,wood,150000.0,1500.0,43.832776,-79.523783,home,"[""https://cdn.prod.website-files.com/5c4241898fc5d7ee9fe8a1cb/5c434682e006562ee591691e_DDH.png"", ""https://cdn.prod.website-files.com/5c4241898fc5d7ee9fe8a1cb/5c47a946f9bd7d1a33e48138_Discovery_image.png""]",
