id,brand,head_office_legal_name,address,country,country_code,region,webpage,configurator,models_amount,min_sqm,max_sqm,main_structure_material,min_home_price,average_price_sqm,latitude,longitude
28,Construtora Baggio,Construtora Baggio Ltda.,"Rua Iguaçu, 2820, Bairro Água Verde, Curitiba, Paraná, 80240-030, Brasil",Brazil,BRA,Santa Catarina,https://www.construtorabaggio.com.br,NaN,NaN,3000.0,80000.0,concrete,NaN,NaN,NaN,NaN
29,Construtora Kakimoto,NaN,"Rua Vinte e Cinco de Julho, 1234, Joinville, Santa Catarina, 89201-100, Brasil",Brazil,BRA,Santa Catarina,https://www.construtorakakimoto.com.br,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,Casas Roca,Casas Roca Construtora Ltda.,"Rua das Palmeiras, 123, Florianópolis, Santa Catarina, 88000-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasroca.com.br,NaN,5.0,50.0,200.0,wood,150000.0,3000.0,NaN,NaN
31,Casas Pormade,Pormade Portas e Móveis Ltda.,"Rodovia BR 280, Km 52, União da Vitória, SC, 89230-000, Brasil",Brazil,BRA,Santa Catarina,https://casaspormade.com.br,NaN,5.0,45.0,120.0,wood,150000.0,3500.0,NaN,NaN
32,Construtora Leal,Construtora Leal Ltda.,"Rua Dom Pedro II, 1234, Florianópolis, Santa Catarina, 88036-500, Brasil",Brazil,BRA,Santa Catarina,https://www.construtoraleal.com.br,NaN,5.0,50.0,200.0,concrete,150000.0,3000.0,NaN,NaN
33,Construtora Berlanda,Construtora Berlanda Ltda.,"Rua 31 de Março, 1000, Trombudo Central, Santa Catarina, 89176-000, Brasil",Brazil,BRA,Santa Catarina,https://www.construtoraberlanda.com.br,NaN,5.0,48.0,120.0,wood,150000.0,2500.0,NaN,NaN
34,Casas Alvorada,Casas Alvorada Ltda,"Rua das Palmeiras, 123, Joinville, Santa Catarina, 89201-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casalvorada.com.br,NaN,5.0,45.0,150.0,wood,120000.0,2500.0,NaN,NaN
35,Casas de Madeira Estrela,Casas de Madeira Estrela Ltda,"Rua das Palmeiras, 123, Criciúma, Santa Catarina, 88800-000, Brasil",Brazil,BRA,Santa Catarina,https://www.casasdemadeiraestrela.com.br,NaN,10.0,50.0,200.0,wood,80000.0,1500.0,NaN,NaN
36,Tecmódulo,Construtora Tecmódulo Ltda.,"Rua Professor Anacleto Damiani, 100, Centro, Rio do Sul, Santa Catarina, 89160-000, Brasil",Brazil,BRA,Santa Catarina,https://www.tecmodule.com.br,NaN,5.0,50.0,200.0,steel,120000.0,2500.0,NaN,NaN
37,Casas Santa Fé,NaN,"Rua Luiz Delfino, 25, Centro, Joinville, SC, 89201-440, Brasil",Brazil,BRA,Santa Catarina,https://casasstafe.com.br,NaN,8.0,45.0,200.0,wood,120000.0,2500.0,NaN,NaN
38,Casa Container Brasil,Casa Container Brasil Ltda.,"Rua das Grumixamas, 100, São Paulo, SP, 04717-090, Brasil",Brazil,BRA,São Paulo,https://www.casacontainerbrasil.com.br,NaN,5.0,15.0,120.0,steel,45000.0,2500.0,NaN,NaN
39,Brasil ao Cubo,Brasil ao Cubo Construtora Modular Ltda.,"Rua Doutor João Colin, 1820, Joinville, SC, 89204-001, Brasil",Brazil,BRA,São Paulo,https://brasilaucubo.com,NaN,5.0,35.0,150.0,steel,120000.0,3500.0,NaN,NaN
40,Smart Modular,Smart Modular Construções Ltda,"Rua Exemplo, 123, São Paulo, SP, 01000-000, Brasil",Brazil,BRA,São Paulo,https://www.smartmodular.com.br,NaN,5.0,45.0,150.0,steel,150000.0,3000.0,NaN,NaN
41,Módulo Engenharia,Módulo Engenharia Ltda.,"Rua dos Prefabricados, 123, São Paulo, SP, 01000-000, Brasil",Brazil,BRA,São Paulo,https://www.moduloengenharia.com.br,NaN,5.0,45.0,150.0,concrete,150000.0,3000.0,NaN,NaN
42,Habitech Brasil,Habitech Brasil Ltda.,"Rua Fictícia, 123, São Paulo, SP, 01234-567, Brasil",Brazil,BRA,São Paulo,https://www.habitechbrasil.com.br,NaN,5.0,45.0,200.0,wood,150000.0,3500.0,NaN,NaN
43,Precon Engenharia,NaN,NaN,Brazil,BRA,São Paulo,https://www.preconengenharia.com.br,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,Pormade Casa Pronta,Pormade Portas de Madeira Ltda.,"Rod. BR-376, Km 18,5, União da Vitória, PR, 84600-000, Brasil",Brazil,BRA,São Paulo,https://www.pormade.com.br,NaN,5.0,45.0,120.0,wood,150000.0,2500.0,NaN,NaN
45,Racional Engenharia,Racional Engenharia Ltda.,"Avenida das Nações Unidas, 12551, Conjunto 132, São Paulo, SP, 04578-903, Brasil",Brazil,BRA,São Paulo,https://www.racional.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,Steel House Brasil,NaN,NaN,Brazil,BRA,São Paulo,https://www.steelhousebrasil.com.br,NaN,NaN,NaN,NaN,steel,NaN,NaN,NaN,NaN
47,Triple M Housing,Triple M Housing Ltd.,"400 - 7 Avenue SW, High River, Alberta, T1V 1P2, Canada",Canada,CAN,Alberta,https://www.triplemhousing.com,NaN,12.0,45.24,185.8,wood,120000.0,1500.0,NaN,NaN
48,Grandeur Housing,Grandeur Housing Ltd.,"401 Pembina Ave E, Winkler, Manitoba, R6W 4A4, Canada",Canada,CAN,Alberta,https://www.grandeurhousing.com,NaN,15.0,46.45,204.39,wood,100000.0,nan,NaN,NaN
49,Zentner Steel Buildings,Zentner Steel Buildings Ltd.,"Bay 6, 3927 Edmonton Trail NE, Calgary, Alberta, T2E 6T1, Canada",Canada,CAN,Alberta,https://zentnersteelbuildings.com,NaN,NaN,NaN,NaN,steel,NaN,NaN,NaN,NaN
50,Ritz-Can Homes,Ritz-Can Construction Ltd.,"12286 156 St NW, Edmonton, Alberta, T5V 1E6, Canada",Canada,CAN,Alberta,https://www.ritzcan.com,NaN,12.0,92.9,232.3,wood,150000.0,1800.0,NaN,NaN
51,SRI Homes,SRI Homes Inc.,"53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.srihomes.com,NaN,25.0,60.0,185.0,wood,100000.0,1500.0,NaN,NaN
52,Northgate Industries,Northgate Industries Ltd.,"12640 126 Street NW, Edmonton, Alberta, T5L 0X7, Canada",Canada,CAN,Alberta,https://www.northgateindustries.com,NaN,12.0,46.45,185.8,steel,75000.0,2200.0,NaN,NaN
53,Nelson Homes,Jandel Homes Inc.,"26229 Township Rd 531A, Acheson, Alberta, T7X 5A4, Canada",Canada,CAN,Alberta,https://www.nelsonhomes.com,NaN,26.0,92.903,278.709,wood,150000.0,1600.0,NaN,NaN
54,Winalta,Winalta Inc.,"10550 50 St SE, Calgary, Alberta, T2C 3E5, Canada",Canada,CAN,Alberta,https://www.winalta.com,NaN,15.0,90.3,223.0,wood,95000.0,1100.0,NaN,NaN
55,Karmod Canada,NaN,NaN,Canada,CAN,Alberta,https://www.karmod.ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,Lindal Cedar Homes,"Lindal Cedar Homes, Inc.","4300 S 104th Pl, Seattle, WA 98178, USA",Canada,CAN,Alberta,https://lindal.com,NaN,25.0,60.0,400.0,wood,150000.0,nan,NaN,NaN
57,Linwood Custom Homes,Linwood Homes Ltd.,"9393 287th Street, Maple Ridge, BC, V2W 1L1, Canada",Canada,CAN,Alberta,https://www.linwoodhomes.com,NaN,45.0,74.32,371.61,wood,150000.0,1800.0,NaN,NaN
58,Empire Modular Homes,NaN,NaN,Canada,CAN,Alberta,https://empiremodularhomes.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,Jandel Homes,Jandel Homes Inc.,"101-53016 Hwy 60, Acheson, Alberta, T7X 5A7, Canada",Canada,CAN,Alberta,https://www.jandelhomes.com,NaN,30.0,92.9,204.4,wood,150000.0,nan,NaN,NaN
60,Modular Calgary Homes,Modular Calgary Homes Inc.,"1234 Modular St, Calgary, AB, T1X 0L3, Canada",Canada,CAN,Alberta,https://www.modularcalgaryhomes.com,NaN,8.0,46.45,185.81,wood,150000.0,2000.0,NaN,NaN
61,Cedar Ridge Homes,Cedar Ridge Custom Homes and Renovations Inc.,"1234 Example Street, Edmonton, Alberta, T5A 1A1, Canada",Canada,CAN,Alberta,https://www.cedarridgehomes.ca,NaN,5.0,75.0,200.0,wood,150000.0,2000.0,NaN,NaN
62,Rocky Mountain Modular,Rocky Mountain Modular Homes Ltd.,"123 Main Street, Calgary, Alberta, T1X 0L3, Canada",Canada,CAN,Alberta,https://www.rockymountainmodular.com,NaN,10.0,46.45,185.81,wood,150000.0,1800.0,NaN,NaN
63,Foothills Modular Homes,Foothills Modular Homes Ltd.,"1234 Example Street, Calgary, Alberta, T1X 1X1, Canada",Canada,CAN,Alberta,https://www.foothillsmodularhomes.ca,NaN,10.0,50.0,200.0,wood,100000.0,1500.0,NaN,NaN
64,Summit Modular Construction,Summit Modular Construction Ltd.,"1234 Modular Lane, Edmonton, Alberta, T5J 1N3, Canada",Canada,CAN,Alberta,https://www.summitmodular.com,NaN,15.0,46.45,185.8,wood,150000.0,2000.0,NaN,NaN
65,Prairie Sky Modular,Prairie Sky Modular Homes Ltd.,"1234 Modular Ave, Calgary, Alberta, T1Y 2A2, Canada",Canada,CAN,Alberta,https://www.prairieskymodular.com,NaN,10.0,92.9,185.8,wood,150000.0,1600.0,NaN,NaN
66,Alberta Factory Built Homes,NaN,NaN,Canada,CAN,Alberta,https://albertafabricatedhomes.ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,Alberta Homes Direct,Alberta Homes Direct Ltd.,"1234 Sample Street, Edmonton, Alberta, T5A 0A1, Canada",Canada,CAN,Alberta,https://www.albertahomesdirect.com,NaN,15.0,92.9,232.3,wood,150000.0,1800.0,NaN,NaN
68,Alta-Fab Structures,Alta-Fab Structures Ltd.,"5210 54 Ave, Thorsby, AB T0C 2P0, Canada",Canada,CAN,Alberta,https://www.altafab.com,NaN,5.0,37.16,111.48,steel,100000.0,1500.0,NaN,NaN
69,Brock Modular,Brock Modular Inc.,"260136 Wagon Wheel Crescent, Balzac, Alberta, T4A 0E2, Canada",Canada,CAN,Alberta,https://brockmodular.com,NaN,NaN,NaN,NaN,steel,NaN,NaN,NaN,NaN
70,Urban Timber,NaN,"15635 112 Ave NW, Edmonton, AB T5M 2V8, Canada",Canada,CAN,Alberta,https://www.urbantimber.ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,Fort Modular,Fort Modular Inc.,NaN,Canada,CAN,Alberta,https://www.fortmodular.com,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
72,Bayshore Home Sales,Bayshore Home Sales Ltd.,"7424 50 Avenue, Red Deer, Alberta, T4P 1X7, Canada",Canada,CAN,Alberta,https://www.bayshorehomes.ca,NaN,10.0,74.32,185.8,wood,150000.0,1500.0,NaN,NaN
73,Western Canadian Modular Homes,Western Canadian Modular Homes Ltd.,"1234 Modular Way, Calgary, Alberta, T1X 1Y1, Canada",Canada,CAN,Alberta,https://www.westerncanadianmodularhomes.com,NaN,15.0,45.0,200.0,wood,120000.0,2000.0,NaN,NaN
74,Prairie Cedar Homes,Prairie Cedar Homes Ltd.,"123 Example Street, Edmonton, Alberta, T5A 0A1, Canada",Canada,CAN,Alberta,https://prairiecedarhomes.com,NaN,5.0,74.32,185.8,wood,150000.0,2000.0,NaN,NaN
75,Miro Construction,Miro Construction Ltd.,"123 Example Street, Edmonton, Alberta, T5A 0A1, Canada",Canada,CAN,Alberta,https://www.miroconstruction.com,NaN,5.0,92.9,185.8,wood,150000.0,2100.0,NaN,NaN
76,Eagle Lake Professional Modular Homes,Eagle Lake Professional Modular Homes Inc.,"12345 Example Street, Calgary, Alberta, T1X 1X1, Canada",Canada,CAN,Alberta,https://www.eaglelakemodular.com,NaN,12.0,55.74,204.38,wood,120000.0,2200.0,NaN,NaN
77,West Coast Homes,West Coast Homes Ltd.,"1234 Example Street, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://www.westcoasthomes.ca,NaN,10.0,46.45,185.8,wood,150000.0,2500.0,NaN,NaN
78,BC Timberframe,BC Timberframe Co.,"10176 McDonald Park Road, Sidney, British Columbia, V8L 5X5, Canada",Canada,CAN,British Columbia,https://www.bctimberframe.ca,NaN,5.0,74.32,278.71,timber,250000.0,nan,NaN,NaN
79,BONE Structure,BONE Structure Inc.,"79 Rue Maurice, Laval, QC H7A 4A1, Canada",Canada,CAN,British Columbia,https://bonestructure.ca,NaN,5.0,92.9,464.5,steel,250000.0,3000.0,NaN,NaN
80,Pacific Homes,Pacific Building Systems Ltd.,"1425 Cowichan Bay Road, Cobble Hill, British Columbia, V0R 1L3, Canada",Canada,CAN,British Columbia,https://pacific-homes.com,NaN,15.0,92.9,464.5,wood,150000.0,2200.0,NaN,NaN
81,Freeport Industries,Freeport Industries Ltd.,"6875 Speedway Blvd, Penticton, BC, V2A 8X2, Canada",Canada,CAN,British Columbia,https://www.freeportindustries.ca,NaN,10.0,55.74,167.23,wood,100000.0,2000.0,NaN,NaN
82,Metric Modular,Metric Modular Inc.,"9505 100 St, Fort St John, BC V1J 4N4, Canada",Canada,CAN,British Columbia,https://www.metricmodular.com,NaN,5.0,46.45,223.9,wood,150000.0,2500.0,NaN,NaN
83,Karoleena,Karoleena Inc.,"400 - 725 Granville Street, Vancouver, BC, V7Y 1G5, Canada",Canada,CAN,British Columbia,https://www.karoleena.com,NaN,5.0,92.9,278.7,wood,300000.0,3250.0,NaN,NaN
84,Fast + Epp,Fast + Epp,"200 - 750 West Pender Street, Vancouver, BC, V6C 2T7, Canada",Canada,CAN,British Columbia,https://www.fastepp.com,NaN,NaN,NaN,NaN,timber,NaN,NaN,NaN,NaN
85,Inhaus Development,Inhaus Development Ltd.,NaN,Canada,CAN,British Columbia,http://www.inhausdevelopment.com,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
86,Jenom Homes,NaN,NaN,Canada,CAN,British Columbia,https://www.jenomhomes.ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,EcoNest Homes,EcoNest Architecture Inc.,"PO Box 1611, Invermere, BC, V0A 1K0, Canada",Canada,CAN,British Columbia,https://www.econesthomes.com,NaN,5.0,55.74,223.06,timber,350000.0,3200.0,NaN,NaN
88,Katerra,Katerra Inc.,NaN,Canada,CAN,British Columbia,https://www.katerra.com,NaN,NaN,NaN,NaN,CLT,NaN,NaN,NaN,NaN
89,Stack Modular,Stack Modular Structures Ltd.,"1100 Melville Street, Vancouver, British Columbia, V6E 4A6, Canada",Canada,CAN,British Columbia,https://www.stackmodular.com,NaN,6.0,27.87,139.35,steel,150000.0,4500.0,NaN,NaN
90,Britco,Britco LP,"8705 256 Street, Langley, BC, V1M 3W3, Canada",Canada,CAN,British Columbia,https://www.britco.com,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
91,Greenstone Building Products,Greenstone Building Products Inc.,"1825-B 32nd Avenue NE, Calgary, Alberta, T2E 7C8, Canada",Canada,CAN,British Columbia,https://www.greenstoneproductsonline.com/,NaN,NaN,NaN,NaN,composite,NaN,NaN,NaN,NaN
92,Blackfish Homes,Blackfish Homes Ltd.,"105-1305 Welch Street, North Vancouver, BC V7P 1B3, Canada",Canada,CAN,British Columbia,https://www.blackfishhomes.ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,Ma Modular,NaN,"916 Springdale Rd, Building 5 Suite 101, Austin, TX 78702, USA",Canada,CAN,British Columbia,https://www.mamodular.com/,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,Canadian Timberframes,Canadian Timberframes Ltd.,"1100 10th Avenue North, Golden, British Columbia, V0A 1H2, Canada",Canada,CAN,British Columbia,https://canadiantimberframes.com,NaN,20.0,92.9,464.5,wood,150000.0,1200.0,NaN,NaN
95,Winton Homes & Cottages,Winton Homes Ltd.,"1140 5th Avenue, Prince George, BC, V2L 3L1, Canada",Canada,CAN,British Columbia,https://www.wintonhomes.ca,NaN,19.0,59.92,232.26,wood,80000.0,nan,NaN,NaN
96,Tamlin Homes,Tamlin International Homes Ltd.,"20460 Langley Bypass, Langley, British Columbia, V3A 5E7, Canada",Canada,CAN,British Columbia,https://tamlinhomes.com,NaN,15.0,55.74,278.71,wood,150000.0,2500.0,NaN,NaN
97,Kemp Construction Management Ltd.,Kemp Construction Management Ltd.,"1515 Broadway Street, Port Coquitlam, BC, V3C 2M7, Canada",Canada,CAN,British Columbia,https://kempconstruction.ca,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
98,Method Homes,"Method Prefab, LLC","3445 Roanoke Road, Seattle, Washington, 98144, USA",Canada,CAN,British Columbia,https://www.methodhomes.net,NaN,8.0,55.74,371.61,wood,200000.0,nan,NaN,NaN
99,Summit Prefab Homes,Summit Prefabricated Homes Ltd.,"1234 Prefab Lane, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://summitprefabhomes.com,NaN,8.0,50.0,200.0,wood,150000.0,2000.0,NaN,NaN
100,Timberland Homes,Timberland Homes Ltd.,"1234 Example Street, Vancouver, BC, V1A 2B3, Canada",Canada,CAN,British Columbia,https://www.timberlandhomes.ca,NaN,10.0,46.45,232.26,wood,150000.0,2500.0,NaN,NaN
101,Pinnacle Prefab,NaN,NaN,Canada,CAN,British Columbia,https://www.pinnacleprefab.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,Harmony Homes,Harmony Homes (1980) Ltd.,"105-546 Leon Avenue, Kelowna, BC, V1Y 6J6, Canada",Canada,CAN,British Columbia,https://www.harmonyhomes.net,NaN,12.0,92.9,278.7,wood,150000.0,1850.0,NaN,NaN
103,Sierra Modular Homes,Sierra Modular Homes Ltd.,"1234 Example Street, Vancouver, BC, V5K 1A1, Canada",Canada,CAN,British Columbia,https://www.sierramodularhomes.ca,NaN,10.0,50.0,200.0,wood,150000.0,2500.0,NaN,NaN
104,Tyee Homes,NaN,NaN,Canada,CAN,British Columbia,https://tyeehomes.ca/,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,Shelter Modular,Shelter Modular Inc.,"1234 Modular Rd, Vancouver, BC, V5K 0A1, Canada",Canada,CAN,British Columbia,https://www.sheltermodular.com,NaN,8.0,46.45,185.81,wood,150000.0,2750.0,NaN,NaN
106,Pioneer Log Homes of British Columbia,Pioneer Log Homes of British Columbia Ltd.,"351 Hodgson Rd, Williams Lake, BC, V2G 3P7, Canada",Canada,CAN,British Columbia,https://www.pioneerloghomesofbc.com,NaN,10.0,92.9,464.5,wood,300000.0,nan,NaN,NaN
107,Tamarack Grove Engineering,Tamarack Grove Engineering Ltd.,"2330 McCullough Road, Nanaimo, British Columbia, V9S 4M9, Canada",Canada,CAN,British Columbia,https://www.tamarackgrove.com,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,Pacific Smart Homes,Pacific Smart Homes Ltd.,"1234 Example Street, Vancouver, British Columbia, V6A 1A1, Canada",Canada,CAN,British Columbia,https://www.pacificsmarthomes.com,NaN,5.0,55.0,200.0,wood,150000.0,2000.0,NaN,NaN
109,Collective Carpentry,Collective Carpentry Ltd.,"Unit 1, 820 25th Street NE, Salmon Arm, British Columbia, V1E 2S6, Canada",Canada,CAN,British Columbia,https://www.collectivecarpentry.com,NaN,5.0,60.0,150.0,wood,150000.0,2500.0,NaN,NaN
110,Zebra Group,Zebra Design & Interiors Group Inc.,"1161 Newport Avenue, Victoria, BC, V8S 5E6, Canada",Canada,CAN,British Columbia,https://www.zebragroup.ca/,NaN,NaN,NaN,NaN,wood,NaN,NaN,NaN,NaN
111,Viceroy Homes,Viceroy Homes Limited,"7895 Tranmere Drive, Mississauga, Ontario, L5S 1V9, Canada",Canada,CAN,British Columbia,https://www.viceroy.com,NaN,12.0,92.9,278.7,wood,150000.0,2000.0,NaN,NaN
112,Island TimberFrame,Island Timber Frame Ltd.,"123 Timber Lane, Cowichan Valley, British Columbia, V0R 2G0, Canada",Canada,CAN,British Columbia,https://www.islandtimberframe.com,NaN,5.0,74.32,185.81,wood,150000.0,2500.0,NaN,NaN
